Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Верес;Хома;Олегович;male;1976-02-08;Стропальник;хутір Запоріжжя;вулиця Лучиста, буд. 924, Мала Виска, 87897;+380 52 972 65 99;kzasiadko@example.net
Пушкар;Остап;Володимирович;male;1993-12-05;Археолог;місто Нетішин;сквер Медовий, буд. 8, Корсунь-Шевченківський, 46581;069 946 41 91;mykhailynafomenko@example.net
Ніколюк;Єфрем;Петрович;male;1957-07-29;Машиніст;село Сімферополь;провулок Кам’янецький, буд. 64 кв. 2, Березне, 63574;+380 (21) 491-16-09;khomaieremenko@example.com
Вовк;Ярема;Дмитрович;male;1945-04-21;Ді-джей;селище Бурштин;набережна Дачна, буд. 67 кв. 3, Монастириська, 56742;206 50 03;havrylo64@example.com
Яковенко;Яків;Дмитрович;male;1939-04-21;Адвокат;село Валки;вулиця Світлий, буд. 1, Борислав, 80451;+380 (64) 098-32-20;mykhailynaieromenko@example.net
Тимченко;Ярина;Іванівна;female;1989-03-30;Піаніст;селище Любомль;вулиця Мала Садова, буд. 3 кв. 158, Верхньодніпровськ, 61455;+380 28 912-26-15;oleksandr41@example.net
Юрченко;Олена;Степанівна;female;1968-08-22;Гірник;хутір Ясинувата;шосе Конструкторський, буд. 34, Залізне, 30724;162 47 02;hanna65@example.com
Чайка;Анастасія;Богданівна;female;1984-09-03;Адвокат;місто Самбір;вулиця Бригадна, буд. 4, Білогірськ, 39342;442 54 51;gdanylenko@example.net
Данилюк;Ганна;Григорівна;female;1963-09-20;Художник;селище Городок;сквер Виноградна, буд. 09 кв. 9, Сіверськодонецьк, 96931;093 605-87-49;wiukhymenko@example.com
Філіпенко;Ілля;Романович;male;1982-08-20;Ріелтор;місто Гуляйполе;проспект Північний, буд. 8, Бібрка, 51149;070 76 22;mykhailychenkohennadii@example.net
Данильчук;Тереза;Анатоліївна;female;1945-08-27;Фрілансер;місто Гребінка;узвіз Сумська, буд. 329 кв. 29, Моршин, 92969;+380 17 573-38-40;marynashtokalo@example.net
Чуйко;Онисим;Михайлович;male;1992-03-04;Машиніст;село Курахове;парк Івана Франка, буд. 3 кв. 730, Бобринець, 71823;831-01-06;volodymyr97@example.org
Юрченко;Вадим;Романович;male;1938-11-26;Соціолог;село Буськ;парк Липнева, буд. 9, Родинське, 47445;002 828-97-29;karasalla@example.net
Дейнеко;Михайло;Михайлович;male;1942-02-20;Державний службовець;місто Генічеськ;провулок Лінія 52-га, буд. 443, Снятин, 20082;+380 23 574-56-92;valeriitsiutsiura@example.org
Івасюк;Остап;Анатолійович;male;1987-06-28;Музичний редактор;село Нова Каховка;вулиця Князівський, буд. 788, Іллінці, 17487;+380 33 957-07-87;hshchors@example.com
Баклан;Миколай;Анатолійович;male;1983-08-29;Бібліотекар;місто Остер;набережна Лузанівка, буд. 11 кв. 3, Новоукраїнка, 78094;+380 70 621-90-39;vyshyvanaomelian@example.com
Тимчук;Данило;Григорович;male;1991-04-14;Парфюмер;село Жидачів;сквер Юрія Олеші, буд. 12 кв. 2, Севастополь, 52981;056 625 79 38;orkhypdevdiuk@example.org
Сиротенко;Марко;Сергійович;male;1998-11-24;Візажист;селище Південне;провулок Сімферопольська, буд. 8 кв. 55, Ромни, 01291;000 195-28-59;orkhyp59@example.org
Дашенко;Пантелеймон;Степанович;male;1952-10-01;Менеджер;село Зборів;провулок Четверта, буд. 5, Бердичів, 98732;019 973-37-34;wnesterenko@example.org
Габелко;Руслан;Іванович;male;1969-02-13;Провізор;місто Кролевець;узвіз Гена Іоганна, буд. 1 кв. 2, Саки, 03990;919 86 06;samoilenkovira@example.net
Єфименко;Зорян;Сергійович;male;1996-12-23;Архітектор;місто Новий Калинів;площа Луганська, буд. 2, Берестин, 31277;+380 75 631-67-16;korzhievhen@example.com
Бабʼяк;Анжела;Романівна;female;1938-04-06;Етнограф;місто Вилкове;узвіз Пресича Олександра, буд. 95, Канів, 27449;634-94-48;nrudko@example.org
Архимович;Омелян;Олександрович;male;1994-12-09;Кінокритик;село Євпаторія;узвіз Севастопольський, буд. 930 кв. 04, Красноперекопськ, 25578;+380 68 542 09 68;hordiilytvyn@example.net
Титаренко;Клавдія;Володимирівна;female;1947-11-20;Співак;хутір Лисичанськ;площа Полуничний, буд. 48 кв. 7, Федорівка, 85549;+380 (51) 444-93-32;varfolomii40@example.org
Товстуха;Кирило;Іванович;male;1957-01-24;Письменник;хутір Зміїв;шосе Соборна, буд. 5, Ірпінь, 87049;027 139-46-55;kandriievych@example.org
Архимович;Франц;Петрович;male;1975-02-23;Стоматолог;село Ічня;провулок Поїзна, буд. 741 кв. 86, Зеленодольськ, 15371;735-85-54;alazarenko@example.net
Чекалюк;Оксана;Володимирівна;female;1968-03-15;Епідеміолог;село Луганськ;парк Локомотивний 2-й, буд. 68 кв. 1, Ялта, 97875;+380 (57) 874-95-91;azaichenko@example.net
Джус;Ярема;Дмитрович;male;1966-02-21;Зоолог;місто Щолкіне;парк Проїзний 1-й, буд. 8, Нетішин, 59645;+380 (38) 582-74-71;tgerus@example.org
Гайдай;Борислав;Максимович;male;1973-01-25;Мовознавець;селище Красногорівка;шосе Зелена, буд. 090, Бобровиця, 46660;+380 (39) 973-81-05;vlokhdanna@example.org
Гузій;Геннадій;Михайлович;male;2002-02-17;Фермер;село Тальне;сквер Володимира Терещенка, буд. 3, Бунге, 34007;+380 (50) 974-05-00;pmasliak@example.com
Мамчур;Венедикт;Михайлович;male;1950-02-24;Електромонтер;місто Хирів;парк Онілової, буд. 9 кв. 9, Олександрія, 53926;091 267-70-25;demydenkoihor@example.org
Тригуб;Наталія;Степанівна;female;1955-09-09;Няня;хутір Інкерман;узвіз Сергія Ядова, буд. 18, Городня, 32470;+380 07 509-42-15;parmenaleksiuk@example.com
Романець;Алевтин;Анатолійович;male;1992-11-15;Музичний редактор;селище Корюківка;сквер Деревообробна, буд. 2, Володимир-Волинський, 06271;316-01-52;marianazhaivoron@example.com
Гайворонська;Любов;Володимирівна;female;1959-08-10;Провізор;хутір Ківерці;площа Зоопаркова, буд. 2, Здолбунів, 90536;344 83 26;wandriienko@example.com
Дерегус;Климент;Максимович;male;2001-01-07;Шериф;місто Чорноморськ;провулок Улицька, буд. 8, Суходільськ, 21468;+380 (61) 496-33-56;martaskorobohatko@example.net
Макогон;Ілля;Іванович;male;1968-07-19;Сантехнік;місто Волочиськ;вулиця Аеропортівський 4-й, буд. 97, Новогродівка, 69264;460 84 81;irynabatiuk@example.com
Кибкало;Марія;Михайлівна;female;1950-08-11;Електромонтер;селище Кодима;узвіз Балківська, буд. 25 кв. 6, Інкерман, 71563;067 107 64 16;baranykpriska@example.org
Петренко;Альберт;Петрович;male;1965-07-27;Модельєр;хутір Хирів;вулиця Миколи Міхновського, буд. 53 кв. 195, Маріуполь, 60550;027 317 62 10;abrahamovskasvitlana@example.net
Титаренко;Василь;Володимирович;male;1954-02-13;Бібліотекар;село Новогродівка;проспект Донорська, буд. 98 кв. 9, Хирів, 29137;+380 19 957-00-17;zlatoslava56@example.net
Макаренко;Дмитро;Богданович;male;1992-06-26;Соціолог;село Шостка;узвіз Бєлякова, буд. 70, Чигирин, 43454;+380 88 779 80 60;priska19@example.org
Яремчук;Тетяна;Євгенівна;female;2000-01-24;Епідеміолог;селище Стрий;проспект Соборна, буд. 86, Нова Одеса, 80230;096 123-80-78;iartemenko@example.com
Калениченко;Йосип;Володимирович;male;1960-03-17;Пілот;хутір Тиврів;сквер Балтський 2-й, буд. 086 кв. 878, Лозова, 88873;535 72 28;artemenkosviatoslav@example.org
Фоменко;Ярослав;Іванович;male;2004-12-19;Конструктор;місто Вільногірськ;парк Матеріальний 1-й, буд. 91, Перевальськ, 95378;+380 64 832 50 52;semenchenkonataliia@example.com
Червоненко;Віталій;Андрійович;male;1976-02-08;Водій;місто Балта;проспект Поштовий, буд. 64, Ладижин, 06287;+380 68 412-85-25;wriaboshapka@example.org
Яковенко;Роксолана;Степанівна;female;1965-09-01;Актор;місто Дебальцеве;набережна Долинська, буд. 95, Вишневе, 34347;+380 58 461 98 94;skybaustym@example.net
Бездітко;Панас;Степанович;male;1939-12-14;Антрополог;село Брянка;парк Рівності 1-й, буд. 344 кв. 43, Генічеськ, 38740;+380 45 531-06-88;vertyporokhzlatoslava@example.org
Колісниченко;Наталія;Дмитрівна;female;1992-05-05;Соціолог;село Баранівка;проспект Юхима Геллера, буд. 4, Узин, 60066;703-74-25;khrystynaeibozhenko@example.net
Абраменко;Нестор;Миколайович;male;1943-01-07;Дипломат;хутір Городня;вулиця Василя Берладяну, буд. 49 кв. 274, Рава-Руська, 20284;+380 52 323-05-77;odarka71@example.org
Саченко;Марко;Романович;male;1962-12-31;Нотаріус;місто Білгород-Дністровський;проспект Косий, буд. 439, Монастириська, 44406;582 45 15;vitermyroslav@example.org
Оніщук;Альбіна;Василівна;female;2001-04-11;Біолог;селище Дубно;сквер Курортний, буд. 23 кв. 260, Одеса, 88057;+380 23 502-25-07;onufriienkoles@example.net
Чередник;Ліза;Володимирівна;female;1987-04-02;Гірничий інженер;селище Соледар;шосе Восьмого березня 2-й, буд. 63 кв. 92, Хотин, 33071;014 591 24 87;xchornovil@example.com
Гаєвський;Віктор;Васильович;male;1948-01-14;Педагог;хутір Міусинськ;сквер Басейний 6-й, буд. 804, Саки, 10860;+380 58 367 46 28;svystunonysym@example.net
Луценко;Омелян;Григорович;male;2002-06-09;Зоолог;село Токмак;набережна Морехідна, буд. 99, Армянськ, 80161;+380 02 980-38-08;iukhym20@example.org
Гоголь;Анжела;Богданівна;female;1968-05-14;Секретар;місто Фастів;провулок Савранська, буд. 17, Бобровиця, 39587;060 200-36-84;prokopovychvarvara@example.net
Засядько;Юстина;Миколаївна;female;1963-08-04;Кінокритик;місто Горлівка;проспект Гобеленова, буд. 074, Пологи, 17172;573 10 25;milenaiemets@example.org
Філіпенко;Соломія;Григорівна;female;1955-04-18;Актор;хутір Южне;вулиця Лінія 42-га, буд. 307, Петрово-Красносілля, 65118;180-89-70;rpetrenko@example.org
Атрощенко;Михайло;Григорович;male;1978-10-23;Кінолог;місто Бердичів;шосе Джевецького, буд. 926 кв. 37, Долина, 54679;838 16 32;rozaliia06@example.net
Андріїшин;Володимир;Сергійович;male;1984-12-24;Детектив;місто Шепетівка;сквер Михайла Грушевського, буд. 74, Апостолове, 98396;022 166 98 66;jaleksandrenko@example.net
Дашкевич;Святослава;Анатоліївна;female;1946-01-16;Бухгалтер;хутір Острог;набережна Килимовий, буд. 12, Біляївка, 09511;+380 (11) 270-84-80;crebryk@example.net
Артим;Богуслава;Миколаївна;female;2002-10-27;Астроном;місто Тячів;узвіз Байдарочний, буд. 54, Гола Пристань, 12602;600-19-16;xshapoval@example.com
Мамчур;Варфоломій;Петрович;male;1988-06-13;Фізик;село Балаклія;вулиця Міцкевича, буд. 932, Куп'янськ, 60518;366 34 99;ielysaveta54@example.net
Дейсун;Аврелій;Іванович;male;1944-12-25;Науковець;хутір Мена;провулок Лазурний 3-й, буд. 28, Новомиргород, 37071;058-20-63;rozaliia89@example.net
Гаврилець;Іван;Вікторович;male;1971-09-28;Ботанік;село Брянка;парк Академіка Сахарова, буд. 56 кв. 68, Середина-Буда, 64941;+380 (01) 173-62-39;svitlana39@example.net
Стельмах;Богданна;Романівна;female;1964-04-23;Євнух;хутір Нова Каховка;провулок Сотника Лугіна, буд. 6, Зіньків, 35737;962 39 34;ykomar@example.com
Чередник;Варфоломій;Богданович;male;1940-05-03;Географ;місто Хуст;площа Олександра Богомольця, буд. 049, Глобине, 31949;+380 77 898-03-39;demydshamrai@example.net
Величко;Костянтин;Олегович;male;1960-08-23;Головний меркшейдер;місто Дубровиця;набережна Фестивальний, буд. 659 кв. 447, Батурин, 31138;+380 72 782-55-75;panchukvasyl@example.net
Фастенко;Емілія;Євгенівна;female;1972-05-20;Паралегал;місто Новоград-Волинський;провулок Вітчизняна, буд. 793, Чорноморськ, 23624;397 88 46;drobiazkoliubov@example.org
Вишняк;Григорій;Вікторович;male;1981-01-29;Детектив;село Умань;узвіз Байдарочний, буд. 0 кв. 05, Берестечко, 92825;+380 40 125-07-29;myroslavartymyshyn@example.org
Жарко;Віктор;Олександрович;male;1945-01-09;Гірничий інженер;місто Кремінна;парк Савицький, буд. 89 кв. 6, Бердичів, 99695;+380 (61) 077-16-84;oleksandrkalchenko@example.org
Бабариченко;Леон;Сергійович;male;1992-05-22;Геофізик;селище Ізяслав;парк Троїцька, буд. 849, Дніпрорудне, 09899;408-60-50;borysdemianiuk@example.org
Дзиндра;Феофан;Вікторович;male;1977-11-12;Палеонтолог;селище Тальне;набережна Парашутний, буд. 35 кв. 859, Апостолове, 37932;+380 (58) 029-89-25;perepelytsiaalbina@example.org
Дерегус;Станіслав;Михайлович;male;1939-05-06;Сценарист;селище Світловодськ;сквер Павла Кравцова, буд. 5 кв. 35, Валки, 03704;+380 57 205-18-68;trokhym85@example.org
Товстоліс;Арсен;Олегович;male;1957-12-02;Мовознавець;хутір Мерефа;проспект Софіївська, буд. 504, Пирятин, 01874;099 344 36 39;heorhiirudyk@example.org
Фоменко;Альбіна;Петрівна;female;1997-11-07;Сценарист;селище Дунаївці;шосе Хвойний, буд. 8 кв. 767, Перемишляни, 78503;+380 95 119-75-04;khrystychokhrim@example.org
Бандурка;Устим;Максимович;male;1995-07-07;Мовознавець;хутір Українка;набережна Михайла Жука, буд. 00, Гребінка, 80196;+380 19 733-80-22;irynahutsuliak@example.org
Туркало;Ганна;Юріївна;female;1983-04-10;Сценарист;село Чортків;площа Братів Малакових, буд. 1, Ківерці, 21791;+380 46 834-31-92;batihparmen@example.net
Каденюк;Руслан;Андрійович;male;2005-12-25;Сценарист;село Білгород-Дністровський;проспект Мечникова, буд. 8, Охтирка, 41145;+380 52 462-56-88;khrystynadubyna@example.net
Христич;Світлана;Євгенівна;female;1950-06-10;Реставратор;селище Звенигородка;узвіз Балківська, буд. 787, Київ, 70607;976-63-31;zorianvlasenko@example.net
Чередник;Альбіна;Василівна;female;1989-02-18;Провізор;село Волноваха;площа Планетна, буд. 036, Ямпіль, 57859;+380 87 026 37 64;ustymiakymchuk@example.org
Комар;Георгій;Дмитрович;male;1953-01-15;Реставратор;селище Жашків;провулок Гонсіоровського, буд. 9, Довжанськ, 53358;+380 90 966-70-68;ychaika@example.net
Бабій;Кирило;Андрійович;male;1993-06-24;Художник;хутір Кривий Ріг;сквер Четверта, буд. 462 кв. 568, Кальміуське, 86191;+380 19 958 94 37;liuboviaremenko@example.org
Лагода;Лариса;Олегівна;female;1995-06-11;Доцент;місто Ічня;проспект Вапняна, буд. 014 кв. 606, Кременець, 64034;+380 69 484-06-89;violetta10@example.net
Приймак;Альберт;Андрійович;male;1997-02-10;Парфюмер;село Чортків;парк Восьмого березня 8-й, буд. 3, Гола Пристань, 73824;+380 32 425-61-02;kyrylogoliash@example.net
Верхола;Федір;Вікторович;male;1947-07-22;Режисер;хутір Гірське;парк Проточний, буд. 782 кв. 07, Хирів, 82856;+380 (02) 069-63-06;sdemydenko@example.net
Павличенко;Марко;Євгенович;male;1945-03-14;Зоолог;селище Здолбунів;площа Затишна, буд. 5, Дубно, 12215;+380 26 481-81-76;pshvachko@example.org
Литвин;Ганна;Олегівна;female;1969-09-08;Дизайнер;хутір Щолкіне;вулиця Березовий, буд. 0 кв. 8, Брянка, 97979;+380 08 862-71-90;artem81@example.net
Іващенко;Анжела;Максимівна;female;1943-01-29;Графік;хутір Вільногірськ;провулок Проточний, буд. 8, Жовті Води, 15468;+380 70 087 34 63;viacheslavabramchuk@example.com
Забарний;Ілля;Дмитрович;male;2001-09-15;Каскадер;місто Сокаль;вулиця Новосельского, буд. 1 кв. 4, Білицьке, 39781;+380 73 030-73-71;aaronbabiak@example.org
Акименко;Олександр;Юрійович;male;1945-01-25;Реабілітолог;місто Сокиряни;шосе Кипарисний 2-й, буд. 7 кв. 102, Богодухів, 71638;+380 15 765-48-05;leonid57@example.net
Дерегус;Артем;Вікторович;male;1966-05-19;Дизайнер;місто Ананьїв;сквер Латвійський узвіз, буд. 77, Заставна, 60467;036 403 24 85;azardeineko@example.org
Бабенко;Антон;Юрійович;male;1984-10-21;Правник;місто Хмільник;набережна Флотський 2-й, буд. 47, Тячів, 47133;330-59-63;rvyshniak@example.com
Батіг;Остап;Олегович;male;1958-10-08;Хімік;місто Ніжин;набережна Йоганна Ансельма, буд. 56 кв. 068, Жовква, 85161;+380 46 352 12 83;vdanko@example.com
Корж;Омелян;Васильович;male;1944-04-06;Дизайнер;село Боково-Хрустальне;проспект Горбиста, буд. 36 кв. 97, Ковель, 82952;+380 36 535 04 09;ustym58@example.org
Короленко;Соломія;Юріївна;female;1977-01-29;Бізнесмен;місто Жидачів;площа Сосюри, буд. 7 кв. 51, Пустомити, 64306;039 441 34 02;nazardanyliuk@example.com
Аврамчук;Максим;Анатолійович;male;1967-12-27;Конструктор;селище Святогірськ;провулок Пересипський узвіз, буд. 40 кв. 50, Карлівка, 04261;+380 75 889-07-58;qieromenko@example.org
Деряжний;Климент;Романович;male;1969-01-16;Кінорежисер;селище Носівка;набережна Короткий, буд. 23, Монастириська, 68379;+380 75 673-62-42;khomykfedir@example.net
Алексеєнко;Володимира;Вікторівна;female;1970-02-20;Філолог;селище Жданівка;шосе Майстерний, буд. 3, Барвінкове, 26457;037 149 70 57;alavrenko@example.org
Адамчук;Юстина;Сергіївна;female;1964-07-23;Модельєр;хутір Тернівка;парк Олексія Косяченко, буд. 9 кв. 01, Дубно, 79973;000 698 89 21;ovcharenkoherman@example.com
Забара;Віра;Олександрівна;female;1986-01-18;Ґрунтознавець;хутір Севастополь;площа Змієнка Всеволода, буд. 51, Зборів, 82982;025 307 92 28;habramchuk@example.org
Гузь;Ігнат;Романович;male;1943-03-29;Диригент;хутір Енергодар;провулок Басейний 2-й, буд. 930 кв. 14, Суми, 61732;+380 (87) 518-62-46;tfranko@example.com
Штепа;Демʼян;Михайлович;male;1949-02-02;Фрілансер;хутір Болехів;узвіз Дюківський сад, буд. 504 кв. 321, Зборів, 35157;+380 92 072-21-90;warsenych@example.net
Захарченко;Амвросій;Васильович;male;1982-01-19;Зоолог;село Перещепине;провулок Фруктова, буд. 968, Горішні Плавні, 98213;020 881 94 32;teodorbabiak@example.org
Козаченко;Юхим;Анатолійович;male;1940-02-08;Кур'єр;село Зборів;шосе Лютеранський, буд. 93 кв. 9, Алупка, 48458;+380 (59) 540-74-01;drobakhasvitlana@example.com
Ісаєвич;Ростислав;Григорович;male;1969-02-27;Електромонтер;селище Зборів;парк Ремонтна, буд. 117 кв. 33, Моспине, 06056;+380 (44) 901-96-26;tsarenkoteodor@example.com
Артимович;Марта;Романівна;female;1989-12-26;Агроном;хутір Бібрка;вулиця Колективний, буд. 39 кв. 87, Кіцмань, 05306;203 73 93;oiakovenko@example.org
Копитко;Марʼяна;Григорівна;female;1977-02-10;Різноробочий;селище Болехів;проспект Сумська, буд. 2, Новий Калинів, 88427;431 55 79;chalenkosofiia@example.org
Іщак;Адам;Богданович;male;1994-08-21;Археолог;хутір Кременчук;провулок Варненська, буд. 117, Рені, 54743;+380 78 544 61 60;svitlanachekaliuk@example.com
Устенко;Галина;Михайлівна;female;2001-09-06;Фольклорист;місто Енергодар;провулок Відважних, буд. 92, Бердичів, 48213;+380 80 541 27 57;ytsushko@example.net
Фастенко;Андрій;Миколайович;male;1959-08-21;Піаніст;місто Тисмениця;провулок Східчастий 3-й, буд. 502 кв. 296, Вуглегірськ, 96188;039 924 30 90;tshablii@example.org
Ісаєвич;Ірина;Дмитрівна;female;1987-04-11;Біолог;місто Кальміуське;площа Головна, буд. 9, Покровськ, 56774;085 124 12 87;eduard55@example.org
Хорішко;Устим;Васильович;male;1985-08-24;Співак;селище Сквира;провулок Юннатів 1-й, буд. 426 кв. 8, Підгородне, 95202;+380 17 327-27-55;vysochanhordii@example.net
Бгиденко;Борис;Андрійович;male;1983-11-13;Краєзнавець;селище Карлівка;парк Новиков міст, буд. 9 кв. 193, Дубровиця, 49481;+380 65 985-38-86;svyshniak@example.net
Батюк;Нестор;Юрійович;male;1992-04-11;Пілот;селище Корюківка;сквер Балтський 2-й, буд. 7, Камінь-Каширський, 82132;521 58 93;plahoda@example.com
Непорожній;Євген;Євгенович;male;1998-01-21;Астроном;село Полтава;узвіз Шептицького, буд. 2, Миколаїв, 71695;+380 (33) 022-66-03;lukianhuzii@example.org
Терещук;Єлисавета;Анатоліївна;female;1987-07-16;Геофізик;хутір Пустомити;шосе 1-ша Лінія Марії Демченко, буд. 43 кв. 512, Суходільськ, 18345;+380 70 084-91-68;rhrechko@example.org
Калениченко;Юстим;Іванович;male;1994-04-09;Медик;місто Люботин;вулиця Макова, буд. 5 кв. 8, Зіньків, 51274;+380 (70) 615-00-77;gabramchuk@example.com
Салій;Варфоломій;Петрович;male;1971-10-26;Ґрунтознавець;селище Горохів;проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 682 кв. 474, Глухів, 51753;+380 (40) 865-68-25;eshevchenko@example.com
Яценюк;Євген;Григорович;male;1975-05-26;Футболіст;місто Хрустальний;узвіз Ігоря Бедзая, буд. 674 кв. 089, Підгородне, 43024;632-71-56;iakiv31@example.net
Єсипенко;Владислав;Богданович;male;1954-10-30;Продюсер;хутір Гнівань;парк Офіцерська, буд. 4, Глобине, 36588;042 412 09 84;klymentiarosh@example.net
Вовк;Алла;Іванівна;female;1967-06-02;Антрополог;місто Устилуг;узвіз Проценка, буд. 51 кв. 9, Лутугине, 86609;+380 03 036 90 08;okhrim52@example.org
Лагода;Макар;Олександрович;male;1998-08-05;Шериф;місто Перечин;шосе Яружний, буд. 333 кв. 62, Городня, 16642;+380 (75) 975-87-52;mstus@example.net
Вдовиченко;Павло;Сергійович;male;1949-11-25;Нотаріус;хутір Гайворон;узвіз Флотська, буд. 1 кв. 8, Таврійськ, 24945;+380 78 965 20 72;oles10@example.net
Габелко;Ліза;Вікторівна;female;2005-03-23;Візажист;хутір Лиман;узвіз Тиха, буд. 284, Самар, 05043;+380 49 613 23 76;atymchuk@example.net
Ґалаґан;Ярослав;Михайлович;male;1999-07-27;Мірошник;село Жашків;сквер Естонська, буд. 06, Перевальськ, 35151;+380 22 057-33-27;edytaiurchyshyn@example.com
Акименко;Степан;Степанович;male;1973-01-20;Мистецтвознавець;село Лутугине;сквер Хімічний 3-й, буд. 199, Кипуче, 84843;+380 34 529 71 91;zieremenko@example.net
Іваничук;Борис;Степанович;male;2007-09-07;Круп'є;село Бунге;площа Курортний, буд. 2 кв. 36, Звенигородка, 72084;+380 24 031-59-05;olha82@example.net
Свистун;Федір;Євгенович;male;2001-01-06;Слідчий;хутір Скадовськ;шосе Західний 4-й, буд. 09 кв. 245, Олевськ, 56139;054 266-31-70;hshelest@example.com
Ґереґа;Василь;Олегович;male;1938-06-11;Дипломат;селище Балаклія;сквер Закарпатська, буд. 2 кв. 36, Полтава, 39974;+380 08 235-51-33;arkadiifastenko@example.net
Гресь;Данило;Євгенович;male;1950-12-05;Перекладач;село Хорол;шосе Дніпропетровська дорога, буд. 774, Конотоп, 18296;+380 08 442-57-25;zabaraherman@example.com
Рябовіл;Максим;Степанович;male;1979-09-11;Реабілітолог;місто Бучач;сквер Сотника Лугіна, буд. 85 кв. 9, Глиняни, 78308;+380 47 836-34-96;bteslia@example.org
Ващук;Людмила;Максимівна;female;2003-12-14;Музикант;село Новомиргород;проспект Лузанівська, буд. 911 кв. 004, Антрацит, 62751;094 290-93-94;jatroshchenko@example.net
Сімашкевич;Зорян;Петрович;male;1982-04-19;Фізик;селище Ворожба;шосе Чорноморський 5-й, буд. 566, Шахтарськ, 92142;+380 80 858 15 97;ruslan52@example.com
Жук;Єва;Олегівна;female;1962-01-26;Дизайнер;селище Добропілля;сквер Дениса Максишка, буд. 4, Заводське, 48859;+380 56 280-00-38;makar41@example.org
Жук;Лариса;Вікторівна;female;1996-01-19;Золотар;місто Іллінці;вулиця Андрія Сови, буд. 644, Оріхів, 51264;+380 77 220-94-24;ielyseibarannyk@example.net
Шелест;Валентина;Юріївна;female;1949-06-16;Намотувальник;село Боярка;парк Проїзний 3-й, буд. 79 кв. 90, Носівка, 66799;167 68 48;rubetstaras@example.com
Запорожець;Веніямин;Михайлович;male;1983-11-17;Музикознавець;село Герца;набережна Фруктовий, буд. 57, Єнакієве, 98714;+380 54 585-05-77;oles66@example.com
Яценюк;Єлисей;Максимович;male;1975-10-21;Вчитель;село Сіверськодонецьк;вулиця Травневий 2-й, буд. 39 кв. 5, Суходільськ, 29220;005 894 33 68;ysatsiuk@example.net
Дараган;Лукʼян;Богданович;male;1943-03-05;Ґрунтознавець;село Середина-Буда;парк Заводська 3-тя, буд. 09, Тисмениця, 76032;024 125 21 75;anzhelaudovenko@example.org
Алексюк;Охрім;Васильович;male;1958-07-28;Музичний редактор;село Овруч;провулок Чумацька, буд. 0, Копичинці, 17994;+380 99 260-69-22;olhabaranets@example.org
Кабаненко;Амвросій;Сергійович;male;1967-05-16;Будник;селище Хирів;парк 2-й Академічний тупик, буд. 9, Щастя, 65705;050 406 38 90;mchalenko@example.com
Ткаченко;Юстина;Андріївна;female;1974-02-08;Ювелір;село Чигирин;парк Куликовський 2-й, буд. 88, Жидачів, 44846;+380 31 326-99-97;pbazylevych@example.com
Ващенко-Захарченко;Віталій;Григорович;male;1961-07-25;Паблік рилейшнз;хутір Вишгород;сквер Український 2-й, буд. 539 кв. 6, Рожище, 12009;+380 (50) 908-16-37;khrystynashukhevych@example.net
Лубенець;Святослава;Євгенівна;female;1969-03-27;Секретар;місто Алушта;узвіз Каменярів, буд. 09, Боярка, 97947;+380 55 169 16 15;oryna38@example.com
Павленко;Трохим;Юрійович;male;1995-09-06;Візажист;хутір Білопілля;узвіз Олени Теліги, буд. 916 кв. 903, Волноваха, 89494;050 336-28-83;btymchenko@example.com
Бандура;Мирон;Михайлович;male;1938-08-25;Зоолог;село Ізмаїл;узвіз Отрадна, буд. 27, Сватове, 39240;047 132-85-71;klyment48@example.com
Рудик;Леонід;Васильович;male;1969-06-03;Клоун;село Тульчин;парк 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 23 кв. 9, Сіверськодонецьк, 50194;+380 76 174-08-90;eibozhenkomakar@example.net
Ярош;Азар;Андрійович;male;1998-04-28;Науковець;село Ладижин;провулок Республіканська, буд. 36 кв. 548, Алмазна, 78601;051 576-63-24;tokarvasyl@example.com
Вахній;Герман;Васильович;male;1943-06-12;Астронавт;село Щолкіне;вулиця Андрія Музичка, буд. 30 кв. 71, Ясинувата, 82750;098 855-76-14;hdutka@example.org
Андрейко;Орина;Максимівна;female;1987-06-10;Сантехнік;хутір Бобринець;набережна Баринштейна, буд. 5 кв. 458, Кропивницький, 34973;060 594 99 00;prokhir79@example.net
Фастенко;Спас;Романович;male;1943-06-02;Композитор;селище Тиврів;сквер Бітумна, буд. 502 кв. 331, Белз, 95527;950 55 14;zakusylonadiia@example.org
Іванченко;Маруся;Володимирівна;female;1960-06-05;Співак;селище Ржищів;провулок Назарівська, буд. 468 кв. 575, Перемишляни, 32509;048 127-38-70;liubov55@example.com
Єсипенко;Богдан;Олегович;male;1942-08-07;Клоун;хутір Кіцмань;площа Кипарисний 2-й, буд. 0, Татарбунари, 60039;817 63 76;orysia57@example.com
Фаренюк;Амалія;Анатоліївна;female;1996-09-03;Державний службовець;селище Рені;сквер Сливова, буд. 439, Васильків, 14673;+380 35 489 84 12;idatsiuk@example.net
Овчаренко;Віра;Іванівна;female;1994-05-27;Прокурор;місто Кременець;вулиця Йоганна Ансельма, буд. 9 кв. 79, Дергачі, 38225;059 440 32 39;tetiana55@example.net
